TestID;Number of Peers;P2P Algorithm;Total Duration [s];Total Received Bytes;Minimum Transfer Time Error Rate [%];Average Transfer Time Error Rate [%];Maximum Transfer Time Error Rate [%];Same PDF File;Maximum Connection Time [s];Minimum Connection Time [s];Average Connection Time [s];Maximum Transfer Time [s];Minimum Transfer Time [s];Average Transfer Time [s];Maximum Total Time [s];Minimum Total Time [s];Average Total Time [s];Maximum Latency Error Rate [%];Minimum Latency Error Rate [%];Average Latency Error Rate [%];Maximum Bandwidth Error Rate [%];Minimum Bandwidth Error Rate [%];Average Bandwidth Error Rate [%];Smallest Bandwidth [Kbps]
Test1;10;USED;16.75;2239815;1.36;5.55;12.26;TRUE;6.26;0.11;3.16;6.96;1.47;3.24;13.17;3.37;6.41;5.84;1.51;2.84;2.65;0.94;1.89;2606
Test2;10;USED;28.15;4293938;1.12;2.96;5.35;TRUE;12.27;0.11;4.99;13.32;2.70;6.10;25.60;6.26;11.09;6.60;1.11;3.75;2.65;1.10;1.86;2606
Test3;10;USED;46.67;8869498;0.85;1.80;2.96;TRUE;18.37;0.11;8.05;27.46;5.51;12.48;42.80;12.69;20.54;8.84;1.37;4.21;2.65;1.00;1.93;2606
Test4;10;USED;79.39;15890720;0.78;1.38;2.33;TRUE;27.53;0.11;12.63;49.16;9.85;22.29;76.69;22.55;34.92;4.72;0.97;2.52;2.65;0.94;1.91;2606
Test5;10;USED;151.76;32095088;0.77;1.24;3.29;TRUE;49.32;0.11;24.56;99.29;19.82;44.95;148.21;45.35;69.52;4.92;1.60;2.99;2.65;1.13;2.00;2606
Test6;10;USED;307.49;67108864;0.75;0.87;1.09;TRUE;98.43;0.12;48.97;207.56;41.25;93.79;305.25;94.55;142.76;5.52;1.54;3.20;2.65;1.13;1.98;2606
Test7;10;USED;610.35;134217728;0.72;0.78;0.91;TRUE;194.90;0.11;96.61;414.99;82.33;187.44;607.16;188.86;284.06;8.90;1.39;4.33;2.65;1.10;2.02;2606
Test8;10;NOT USED;11.59;2239815;1.69;2.05;2.84;TRUE;3.23;0.11;0.43;7.01;6.29;6.38;9.60;6.40;6.81;4.83;1.78;3.54;2.25;1.55;1.89;2606
Test9;10;NOT USED;16.72;4293938;1.22;1.41;1.76;TRUE;0.14;0.11;0.12;13.34;12.01;12.16;13.47;12.12;12.29;4.78;0.90;3.18;2.25;1.90;1.96;2606
Test10;10;NOT USED;31.10;8869498;0.95;1.04;1.21;TRUE;0.15;0.12;0.13;27.48;24.75;25.04;27.61;24.87;25.17;5.67;1.25;3.44;2.59;1.55;1.92;2606
Test11;10;NOT USED;52.47;15890720;0.84;0.90;0.99;TRUE;0.15;0.11;0.13;49.19;44.28;44.79;49.32;44.40;44.93;6.08;1.75;3.43;2.25;1.55;1.85;2606
Test12;10;NOT USED;103.26;32095088;0.76;0.79;0.84;TRUE;0.17;0.11;0.13;99.28;89.38;90.38;99.40;89.49;90.52;5.76;1.47;2.91;2.25;1.55;1.82;2606
Test13;10;NOT USED;211.31;67108864;0.73;0.74;0.76;TRUE;0.14;0.11;0.12;207.52;186.80;188.90;207.65;186.92;189.03;5.31;1.45;3.06;2.25;1.55;1.92;2606
Test14;10;NOT USED;418.06;134217728;0.72;0.72;0.76;TRUE;0.15;0.11;0.13;415.04;373.58;377.75;415.19;373.70;377.89;5.23;2.68;4.14;2.25;1.55;1.82;2606
