TestID;Number of Peers;P2P Algorithm;Total Duration [s];Total Received Bytes;Minimum Transfer Time Error Rate [%];Average Transfer Time Error Rate [%];Maximum Transfer Time Error Rate [%];Same PDF File;Maximum Connection Time [s];Minimum Connection Time [s];Average Connection Time [s];Maximum Transfer Time [s];Minimum Transfer Time [s];Average Transfer Time [s];Maximum Total Time [s];Minimum Total Time [s];Average Total Time [s];Maximum Latency Error Rate [%];Minimum Latency Error Rate [%];Average Latency Error Rate [%];Maximum Bandwidth Error Rate [%];Minimum Bandwidth Error Rate [%];Average Bandwidth Error Rate [%];Smallest Bandwidth [Kbps]
Test1;5;USED;10.06;2239815;2.61;9.27;20.81;TRUE;6.18;0.13;1.34;5.56;0.83;2.73;7.01;2.53;4.08;0.54;0.29;0.35;2.39;1.57;2.03;3302
Test2;5;USED;13.89;4293938;1.67;5.12;10.92;TRUE;6.19;0.13;1.34;10.57;1.46;5.11;10.71;4.61;6.46;0.54;0.30;0.36;2.52;1.57;2.03;3302
Test3;5;USED;24.76;8869498;1.16;2.84;5.73;TRUE;12.26;0.13;2.56;21.73;2.87;10.40;21.88;9.24;12.97;0.53;0.27;0.34;2.39;1.57;2.00;3302
Test4;5;USED;42.68;15890720;0.96;1.86;3.52;TRUE;18.33;0.13;3.77;38.87;5.05;18.53;39.00;16.36;22.31;0.52;0.29;0.35;2.39;1.57;2.03;3302
Test5;5;USED;82.03;32095088;0.83;1.29;2.08;TRUE;36.56;0.13;7.42;78.40;10.05;37.30;78.54;32.78;44.72;0.53;0.29;0.35;2.39;1.57;2.00;3302
Test6;5;USED;166.68;67108864;0.76;1.03;1.35;TRUE;73.02;0.13;14.71;163.82;20.87;77.87;163.96;68.26;92.58;0.53;0.28;0.35;2.39;1.57;2.00;3302
Test7;5;USED;330.38;134217728;0.72;0.83;1.00;TRUE;139.89;0.13;28.09;327.55;41.61;155.53;327.69;136.27;183.62;0.54;0.28;0.35;2.39;1.57;2.03;3302
Test8;5;NOT USED;8.39;2239815;0.70;1.75;7.22;TRUE;0.14;0.13;0.13;5.56;3.14;3.64;5.71;3.28;3.78;0.54;0.34;0.39;1.88;1.57;1.75;3302
Test9;5;NOT USED;13.96;4293938;0.70;1.22;3.05;TRUE;0.14;0.13;0.14;10.58;5.92;6.86;10.71;6.06;7.00;0.54;0.34;0.39;2.05;1.57;1.82;3302
Test10;5;NOT USED;25.02;8869498;0.70;0.97;2.17;TRUE;0.14;0.13;0.13;21.73;12.10;14.04;21.87;12.24;14.18;0.52;0.33;0.40;2.05;1.57;1.78;3302
