TestID;Number of Peers;P2P Algorithm;Total Duration [s];Total Received Bytes
Test1;75;USED;37.96;2239815
Test35;75;NOT USED;67.33;2239815

Test2;75;USED;53.32;4293938
Test36;75;NOT USED;111.23;4293938

Test3;75;USED;85.00;8869498
Test37;75;NOT USED;207.74;8869498

Test4;75;USED;133.85;15890720
Test38;75;NOT USED;356.13;15890720

Test5;75;USED;236.89;32095088
Test6;75;NOT USED;697.89;32095088

Test6;75;USED;483.21;67108864
Test6;75;NOT USED;1438.15;67108864

Test7;75;USED;932.35;134217728
Test7;75;NOT USED;2851.44;134217728
